"","Player","Years","Full_Salary","Avg_Salary","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Abdel Nader","2",4160000,2080000,"SF",27,"PHO",24,0,14.8,2.4,4.8,0.491,0.8,1.8,0.419,1.6,3,0.534,0.569,1.2,1.5,0.757,0.3,2.3,2.6,0.8,0.4,0.4,0.8,1.4,6.7,13.4,0.605,0.371,0.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19,NA,0.3,0.4,0.7,0.095,NA,-1,1,0,0.2
"2","Alec Burks","3",30038400,10012800,"SG",29,"NYK",49,5,25.6,4.3,10.2,0.42,2.1,5,0.415,2.2,5.2,0.425,0.522,2.1,2.4,0.856,0.4,4.2,4.6,2.2,0.6,0.3,1,2.1,12.7,14.8,0.564,0.492,0.236,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,NA,1.5,1.8,3.3,0.126,NA,0.9,0.6,1.5,1.1
"3","Alex Caruso","4",3.7e+07,9250000,"PG",26,"LAL",58,6,21,2.3,5.3,0.436,0.9,2.4,0.401,1.3,2.9,0.464,0.526,0.8,1.3,0.645,0.5,2.4,2.9,2.8,1.1,0.3,1.3,1.9,6.4,11.1,0.547,0.449,0.249,2.9,12.8,7.9,18.1,2.6,1.1,18.3,14.8,NA,0.3,2.1,2.4,0.095,NA,-2.5,2.5,0,0.6
"4","Alex Len","2",7650600,3825300,"C",27,"TOT",64,42,15.3,2.7,4.3,0.615,0.1,0.4,0.32,2.5,4,0.644,0.629,1.1,1.8,0.629,1.2,2.8,4.1,0.8,0.3,1,0.9,2,6.6,16.4,0.643,0.09,0.417,8.5,19.7,14.1,7,0.9,5.6,14.3,16.3,NA,1.5,1.3,2.7,0.133,NA,-1.2,1,-0.1,0.5
"5","Alize Johnson","2",3607937,1803969,"PF",24,"BRK",18,0,10.5,2.2,3.8,0.588,0.1,0.3,0.167,2.2,3.4,0.629,0.596,0.7,0.7,1,1.5,3.5,5,0.8,0.3,0.3,0.5,0.9,5.2,23.5,0.638,0.088,0.191,16.6,35,26.3,10.9,1.3,2.3,10.9,19.1,NA,0.6,0.3,0.9,0.227,NA,2.7,0,2.7,0.2
"6","Andre Drummond","1",2401537,2401537,"C",27,"TOT",46,46,27,6.1,12.4,0.493,0,0.2,0,6.1,12.3,0.5,0.493,2.7,4.5,0.6,3.6,8.4,12,2,1.4,1.1,2.7,3.2,14.9,19.4,0.519,0.014,0.358,14.8,35.2,24.9,13.2,2.5,3.5,15.8,27.6,NA,-0.6,2.5,2,0.077,NA,-1.7,0.5,-1.2,0.3
"7","Armoni Brooks","1",1489065,1489065,"SG",22,"HOU",20,5,26,3.9,9.6,0.406,3,7.9,0.382,0.9,1.8,0.514,0.563,0.4,0.6,0.583,0.5,2.9,3.4,1.5,0.6,0.3,1.1,1.7,11.2,10.4,0.565,0.818,0.063,2,12.4,7,8.7,1.1,0.9,10,17.9,NA,0.1,0.2,0.3,0.03,NA,-1.1,-2.1,-3.2,-0.2
"8","Austin Rivers","1",2401537,2401537,"SG",28,"TOT",36,7,23.5,2.9,6.8,0.424,1.5,4.1,0.369,1.4,2.7,0.51,0.537,0.6,0.9,0.71,0.2,2.1,2.3,2.3,0.8,0.1,1,1.8,7.9,9.9,0.551,0.608,0.127,1.1,9.6,5.4,13.2,1.8,0.2,12.2,15.4,NA,0.4,0.9,1.3,0.072,NA,-2.2,0.3,-1.9,0
"9","Avery Bradley","1",2641691,2641691,"SG",30,"TOT",27,6,22.3,2.4,6.3,0.374,1.2,3.7,0.327,1.1,2.6,0.443,0.471,0.4,0.6,0.8,0.3,1.8,2.1,1.7,0.8,0.1,1,2,6.4,6.3,0.487,0.591,0.088,1.4,9.1,5.2,10.8,1.7,0.5,13.6,14.9,NA,-0.5,0.4,-0.1,-0.008,NA,-4.9,-0.5,-5.4,-0.5
"10","Ben McLemore","1",2389641,2389641,"SG",27,"TOT",53,5,17.1,2.5,6.9,0.37,1.8,5.3,0.346,0.7,1.6,0.447,0.503,0.7,1,0.736,0.3,1.6,1.9,0.7,0.4,0.2,0.8,1.7,7.7,8.5,0.523,0.767,0.145,1.7,10.5,6,6.4,1.2,0.9,9.8,20.4,NA,-0.5,0.7,0.2,0.013,NA,-2.7,-1.2,-3.9,-0.4
"11","Blake Griffin","1",2641691,2641691,"PF",31,"TOT",46,30,25.8,3.8,8.9,0.423,1.5,4.5,0.341,2.3,4.5,0.505,0.509,1.9,2.5,0.744,0.8,4.1,4.9,3,0.7,0.3,1.3,2.4,11,12.9,0.546,0.499,0.285,3.4,17.4,10.5,17,1.3,1.1,11.8,19.3,NA,0.9,1.1,2,0.081,NA,-0.8,0,-0.8,0.3
"12","Bobby Portis","2",8912580,4456290,"C",25,"MIL",66,7,20.8,4.7,9.1,0.523,1.1,2.4,0.471,3.6,6.7,0.542,0.585,0.8,1.1,0.74,1.9,5.2,7.1,1.1,0.8,0.4,0.8,1.7,11.4,19.9,0.598,0.263,0.122,9.9,25.3,17.9,7.4,1.8,1.7,8.2,20.9,NA,2.8,2,4.8,0.167,NA,1.8,-0.4,1.5,1.2
"13","Bryn Forbes","1",4500000,4500000,"SG",27,"MIL",70,10,19.3,3.6,7.6,0.473,2.2,4.9,0.452,1.4,2.7,0.511,0.618,0.7,0.9,0.77,0.2,1.4,1.6,0.6,0.3,0,0.6,1.1,10,12.8,0.631,0.645,0.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,NA,2,0.7,2.7,0.096,NA,0.4,-1.7,-1.3,0.2
