"","Player","Years","Full_Salary","Avg_Salary","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"14","Cameron Payne","3",1.9e+07,6333333,"PG",26,"PHO",60,1,18,3.2,6.6,0.484,1.2,2.8,0.44,2,3.8,0.515,0.576,0.8,0.9,0.893,0.3,2.1,2.4,3.6,0.6,0.3,1,1.6,8.4,17.4,0.602,0.42,0.142,1.7,13.2,7.6,28.1,1.6,1.3,12.5,19.8,NA,2.4,1.2,3.6,0.158,NA,2.1,1,3.1,1.4
"15","Carmelo Anthony","1",2641691,2641691,"PF",36,"POR",69,3,24.5,4.7,11.3,0.421,1.9,4.7,0.409,2.8,6.6,0.429,0.506,2,2.2,0.89,0.5,2.6,3.1,1.5,0.7,0.6,0.9,2.1,13.4,14.6,0.547,0.418,0.198,2,11.8,6.8,9.2,1.3,2,6.7,23.1,NA,1.7,0.8,2.6,0.073,NA,0.2,-1.3,-1.1,0.4
"16","Cassius Stanley","1",1489065,1489065,"SG",21,"IND",24,0,3.9,0.5,1.8,0.302,0.1,0.5,0.231,0.4,1.3,0.333,0.337,0.3,0.4,0.778,0.3,0.5,0.8,0,0,0.1,0,0.6,1.5,5.5,0.383,0.302,0.209,9.4,13.9,11.7,1.4,0.5,1.7,2.1,22,NA,-0.2,0.1,-0.1,-0.05,NA,-7.2,-4,-11.2,-0.2
"17","Chasson Randle","1",1789256,1789256,"PG",27,"ORL",41,5,20.4,2.2,5.8,0.388,1.1,3.2,0.338,1.2,2.6,0.449,0.481,0.9,1.2,0.792,0.2,1.8,2,1.8,0.5,0.1,1.1,1.6,6.5,7.4,0.515,0.549,0.203,0.8,9.6,5.1,12.9,1.3,0.5,15.1,15.7,NA,-0.4,0.4,0,-0.001,NA,-4.8,-1.1,-5.9,-0.8
"18","Chris Paul","4",1.2e+08,3e+07,"PG",35,"PHO",70,70,31.4,6.3,12.6,0.499,1.5,3.7,0.395,4.8,8.9,0.543,0.557,2.4,2.6,0.934,0.4,4.1,4.5,8.9,1.4,0.3,2.2,2.4,16.4,21.4,0.599,0.294,0.206,1.3,14.5,8,40.9,2.2,0.8,14,22.6,NA,6.5,2.7,9.2,0.201,NA,3.5,1.1,4.6,3.6
"19","Chris Silva","1",1669178,1669178,"PF",24,"TOT",15,0,6.1,0.7,1.1,0.625,0.1,0.1,1,0.6,1,0.6,0.656,0.7,1,0.733,0.5,1.3,1.8,0.4,0.1,0.4,0.7,1.6,2.1,11.5,0.708,0.063,0.938,8.9,24.4,16.8,9.3,0.5,6.6,30.7,15.9,NA,0.1,0.1,0.2,0.101,NA,-6.7,1.1,-5.5,-0.1
"20","Cody Zeller","1",2389641,2389641,"C",28,"CHO",48,21,20.9,3.8,6.8,0.559,0.1,0.6,0.143,3.7,6.2,0.598,0.565,1.8,2.5,0.714,2.5,4.4,6.8,1.8,0.6,0.4,1.1,2.5,9.4,18.2,0.599,0.086,0.367,12.6,22.9,17.7,13.2,1.3,1.7,11.9,18.3,NA,2.1,1.1,3.3,0.156,NA,-0.2,-0.2,-0.5,0.4
"21","Cory Joseph","2",10065000,5032500,"PG",29,"TOT",63,13,23,3.2,6.8,0.469,0.7,2.1,0.341,2.5,4.7,0.527,0.522,1.1,1.4,0.818,0.6,2,2.5,3.4,1,0.3,1.3,2.2,8.2,12.5,0.556,0.31,0.207,2.7,9.7,6.1,21.4,2,1.1,14.5,16.3,NA,1.3,0.8,2.1,0.069,NA,-1.8,0,-1.8,0.1
"22","Daniel Theis","4",35605510,8901378,"C",28,"TOT",65,51,24.6,3.9,7.2,0.541,0.8,2.3,0.322,3.1,4.8,0.646,0.593,1.1,1.7,0.673,1.4,4,5.5,1.7,0.6,0.9,1,2.6,9.6,15,0.609,0.326,0.236,6.5,18.3,12.4,9.5,1.2,3.3,11.4,15.6,NA,2.4,1.8,4.3,0.128,NA,-0.7,0.7,0,0.8
"23","Danny Green","2",2e+07,1e+07,"SF",33,"PHI",69,69,28,3.2,7.9,0.412,2.5,6.3,0.405,0.7,1.6,0.438,0.573,0.4,0.6,0.775,0.8,3,3.8,1.7,1.3,0.8,1,1.8,9.5,12.1,0.582,0.794,0.074,3.2,11.5,7.4,8.3,2.3,2.6,10.7,14,NA,1.6,3.1,4.6,0.115,NA,0.4,1.5,1.9,1.9
"24","Dante Exum","3",8100000,2700000,"SG",25,"CLE",6,3,19.3,1.7,4.3,0.385,0.3,1.8,0.182,1.3,2.5,0.533,0.423,0.2,0.3,0.5,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8,5.9,0.428,0.423,0.077,1.9,14.8,8.2,15.8,1.7,1.5,20.7,12.7,NA,-0.2,0.1,-0.1,-0.025,NA,-5.4,1.6,-3.8,-0.1
"25","DaQuan Jeffries","1",1669178,1669178,"SG",23,"TOT",31,5,15.9,1.6,3.9,0.417,0.6,2.2,0.299,1,1.7,0.566,0.5,0.2,0.3,0.875,0.6,1.7,2.3,0.7,0.5,0.3,0.5,1.5,4.1,7.9,0.514,0.558,0.067,4.1,11.8,7.8,6.1,1.4,1.8,10.2,11.9,NA,0,0.2,0.3,0.027,NA,-3.6,-1.1,-4.7,-0.3
"26","David Nwaba","3",1.5e+07,5e+06,"SF",28,"HOU",30,9,22.6,3.5,7.3,0.486,0.6,2.1,0.27,3,5.2,0.574,0.525,1.6,2.3,0.691,1.3,2.6,3.9,1,1,0.7,0.6,2,9.2,14.4,0.557,0.289,0.312,6,12.8,9.3,6.9,2.1,2.8,6.4,16.6,NA,0.7,0.6,1.3,0.094,NA,-1.4,0.6,-0.8,0.2
"27","DeAndre' Bembry","1",1939350,1939350,"SF",26,"TOR",51,12,19.1,2.3,4.5,0.513,0.3,1,0.264,2,3.4,0.589,0.544,0.9,1.3,0.682,0.6,2.2,2.9,2.1,1,0.4,1.4,1.7,5.7,11.2,0.57,0.232,0.289,3.6,13.3,8.3,15.6,2.6,1.9,21.6,14.6,NA,0.1,1.1,1.2,0.059,NA,-3.2,1.4,-1.9,0
"28","DeAndre Jordan","1",2641691,2641691,"C",32,"BRK",57,43,21.9,3.3,4.4,0.763,0,0,0,3.3,4.4,0.766,0.763,0.8,1.6,0.5,2.1,5.4,7.5,1.6,0.3,1.1,1.5,2,7.5,17.1,0.736,0.004,0.369,10.9,26.1,18.9,10.1,0.7,4.6,22.7,13.1,NA,2.4,1.5,3.9,0.152,NA,0.1,1,1,0.9
"29","Deividas Sirvydis","1",1669178,1669178,"SG",20,"DET",20,0,6.7,0.7,2,0.35,0.5,1.4,0.357,0.2,0.6,0.333,0.475,0.2,0.3,0.5,0,1.5,1.5,0.3,0.1,0,0.3,0.5,2.1,5.7,0.481,0.7,0.15,0,24.5,12.1,5.4,0.7,0,10.5,15.7,NA,-0.1,0.1,0,-0.01,NA,-4.2,-1.2,-5.4,-0.1
"30","DeMar DeRozan","3",8.5e+07,28333333,"PF",31,"SAS",61,61,33.7,7.5,15.1,0.495,0.3,1.2,0.257,7.1,13.9,0.515,0.505,6.3,7.2,0.88,0.7,3.6,4.2,6.9,0.9,0.2,2,2.1,21.6,22,0.591,0.08,0.478,2,11.6,6.7,32,1.3,0.6,9.7,26.1,NA,5.9,1.5,7.4,0.172,NA,3.2,-0.1,3.1,2.6
"31","Dennis Smith Jr.","1",1789256,1789256,"PG",23,"TOT",23,9,18.3,2.5,6.3,0.4,0.8,2.5,0.328,1.7,3.8,0.448,0.466,0.8,1.1,0.731,0.5,1.9,2.4,3.3,1,0.6,1.1,1.6,6.7,13.6,0.492,0.4,0.179,3.1,11.5,7.3,27.8,2.7,2.9,14.3,19,NA,0.1,0.5,0.6,0.07,NA,-1.1,1.5,0.4,0.3
"32","Denzel Valentine","2",4133270,2066635,"SG",27,"CHI",62,3,16.7,2.5,6.7,0.373,1.3,3.9,0.331,1.2,2.8,0.431,0.469,0.3,0.3,0.941,0.4,2.8,3.2,1.7,0.5,0.1,0.7,1.1,6.5,10.1,0.479,0.582,0.041,2.6,18.3,10.5,14,1.4,0.6,9,19.5,NA,-0.4,1.1,0.7,0.032,NA,-2.2,-0.4,-2.7,-0.2
"33","Derrick Rose","3",43562189,14520730,"PG",32,"TOT",50,3,25.6,5.7,12.2,0.47,1,2.6,0.388,4.7,9.6,0.492,0.511,2.2,2.5,0.866,0.4,2.2,2.6,4.2,1,0.4,1.6,1.1,14.7,18.3,0.55,0.211,0.208,1.7,9.3,5.5,28,1.9,1.4,10.5,25.8,NA,1.6,1.6,3.1,0.118,NA,1.6,0.3,1.9,1.3
"34","Devonte' Graham","4",47300000,11825000,"PG",25,"CHO",55,44,30.2,4.6,12.2,0.377,3.3,8.7,0.375,1.3,3.5,0.38,0.51,2.4,2.9,0.842,0.4,2.3,2.7,5.4,0.9,0.1,1.5,1.4,14.8,14.6,0.552,0.713,0.236,1.4,8.4,4.8,26.3,1.4,0.4,10.2,21.4,NA,2.5,0.9,3.4,0.099,NA,1.8,-1.1,0.7,1.1
"35","Dewayne Dedmon","1",2389641,2389641,"C",31,"MIA",16,0,13.1,2.9,4.1,0.708,0.1,0.3,0.2,2.8,3.8,0.75,0.715,1.3,1.7,0.741,1.8,3.6,5.4,0.8,0.6,0.4,0.8,2.3,7.1,24.5,0.735,0.077,0.415,15.5,31,23.4,9.6,2.1,3,14.5,19.3,NA,0.7,0.4,1.1,0.256,NA,1.2,0.5,1.7,0.2
"36","Didi Louzada","4",7686312,1921578,"SF",21,"NOP",3,0,18.7,1,4.3,0.231,0.7,2.7,0.25,0.3,1.7,0.2,0.308,0,0,NA,0.3,0.7,1,1,0.7,0,1,1.7,2.7,-0.9,0.308,0.615,0,1.9,3.9,2.9,6.5,1.7,0,18.8,12,NA,-0.1,0,-0.1,-0.099,NA,-7.8,-1.8,-9.6,-0.1
"37","Doug McDermott","3",4.2e+07,1.4e+07,"PF",29,"IND",66,29,24.5,5.4,10.1,0.532,1.7,4.3,0.388,3.7,5.7,0.641,0.616,1.2,1.5,0.816,0.9,2.4,3.3,1.3,0.3,0.1,0.8,1.8,13.6,15.6,0.635,0.43,0.147,4,10.7,7.4,7.8,0.6,0.3,7,20,NA,3.1,0.7,3.8,0.112,NA,1.4,-2,-0.6,0.6
"38","Duncan Robinson","5",9e+07,1.8e+07,"SF",26,"MIA",72,72,31.4,4.4,10,0.439,3.5,8.5,0.408,0.9,1.4,0.625,0.614,0.9,1,0.827,0.1,3.4,3.5,1.8,0.6,0.3,1.1,2.5,13.1,11,0.628,0.855,0.105,0.4,12.1,6.3,8.3,0.9,0.9,9.7,16.6,NA,1.9,1.8,3.7,0.079,NA,-0.2,-0.8,-1,0.6
"39","Dwayne Bacon","1",1789256,1789256,"SG",25,"ORL",72,50,25.7,4.1,10.1,0.402,0.8,2.9,0.285,3.2,7.2,0.449,0.443,2,2.4,0.824,0.4,2.7,3.1,1.3,0.6,0.1,0.6,1.4,10.9,9.9,0.49,0.285,0.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,NA,-0.3,0.9,0.5,0.013,NA,-3.7,-1.4,-5.1,-1.5
"40","Dwight Howard","1",2641691,2641691,"C",35,"PHI",69,6,17.3,2.6,4.4,0.587,0.1,0.3,0.25,2.5,4.1,0.611,0.596,1.8,3,0.576,2.8,5.7,8.4,0.9,0.4,0.9,1.6,2.9,7,17.8,0.61,0.066,0.693,17.8,35.3,26.7,7.2,1.2,4.7,22.1,18.2,NA,1.3,2.6,4,0.159,NA,-2.1,0.6,-1.5,0.1
"41","E'Twaun Moore","1",2641691,2641691,"SG",31,"PHO",27,1,14.4,2,4.5,0.455,0.4,1.3,0.314,1.6,3.2,0.512,0.5,0.4,0.5,0.857,0.5,1.1,1.7,1.5,0.6,0.2,0.9,1.2,4.9,10.4,0.523,0.289,0.116,4.2,8.9,6.6,13.7,1.9,1.2,15.3,17.2,NA,0,0.4,0.4,0.049,NA,-3.1,0.2,-2.9,-0.1
"42","Elfrid Payton","1",2239544,2239544,"PG",26,"NYK",63,63,23.6,4.3,9.9,0.432,0.4,1.6,0.286,3.8,8.3,0.46,0.455,1.2,1.7,0.682,1,2.4,3.4,3.2,0.7,0.1,1.6,1.8,10.1,11.7,0.478,0.158,0.172,4.7,11,7.9,21.6,1.6,0.6,13.3,23.2,NA,-0.9,1.9,1,0.032,NA,-2.9,-0.1,-3,-0.4
"43","Enes Freedom","1",2641691,2641691,"C",28,"POR",72,35,24.4,4.7,7.8,0.604,0,0.1,0.25,4.7,7.7,0.607,0.605,1.8,2.3,0.774,3.9,7.1,11,1.2,0.5,0.7,1.1,2.3,11.2,22.4,0.636,0.007,0.292,16.8,31.9,24.2,7.2,0.9,2.4,11,17.4,NA,5.7,1.7,7.5,0.204,NA,2.1,-1.4,0.6,1.2
"44","Evan Fournier","4",7.3e+07,18250000,"SF-SG",28,"TOT",42,36,30,5.9,12.9,0.457,2.8,6.7,0.413,3.1,6.1,0.504,0.565,2.6,3.3,0.788,0.2,2.8,3,3.4,1.1,0.5,1.7,2.3,17.1,16.7,0.598,0.523,0.253,0.8,10.2,5.4,18.6,1.8,1.4,10.8,23.1,NA,1.8,1,2.8,0.107,NA,1.5,-0.4,1.1,1
"45","Frank Jackson","2",6150000,3075000,"PG",22,"DET",40,6,18.5,3.4,7.3,0.457,1.5,3.8,0.407,1.8,3.6,0.51,0.561,1.5,1.9,0.813,0.4,1.8,2.2,0.9,0.4,0,0.9,1.3,9.8,13.2,0.598,0.512,0.256,2.2,10.8,6.5,7.9,1,0.1,9.4,21.3,NA,0.7,0.4,1.2,0.076,NA,-0.1,-1.6,-1.7,0.1
"46","Frank Kaminsky","1",2089448,2089448,"C",27,"PHO",47,13,15.2,2.6,5.5,0.471,0.7,1.8,0.365,1.9,3.7,0.523,0.531,0.8,1.3,0.617,0.8,3.2,4,1.7,0.3,0.4,0.5,1.5,6.6,15.8,0.547,0.331,0.233,5.8,23.7,14.9,15.3,1,2.1,7.2,19,NA,1.1,0.9,2,0.133,NA,0.4,0.8,1.3,0.6
"47","Frank Ntilikina","2",3825574,1912787,"PG",22,"NYK",33,4,9.8,0.9,2.4,0.367,0.7,1.5,0.479,0.2,0.9,0.194,0.513,0.2,0.5,0.444,0.2,0.8,0.9,0.6,0.5,0.1,0.3,1.4,2.7,7.7,0.512,0.608,0.228,2,8.3,5.2,8.1,2.8,1.2,11.2,13.6,NA,0,0.5,0.5,0.07,NA,-4.2,2.5,-1.7,0
"48","Gabe Vincent","2",3484855,1742428,"PG",24,"MIA",50,7,13.1,1.8,4.7,0.378,0.9,3,0.309,0.8,1.7,0.5,0.476,0.4,0.5,0.87,0.2,0.9,1.1,1.3,0.4,0,0.7,1.6,4.8,7.6,0.498,0.639,0.099,1.8,7.9,4.9,15.1,1.6,0.3,12.3,19.1,NA,-0.4,0.5,0.2,0.011,NA,-4.5,-0.9,-5.4,-0.6
"49","Garrett Temple","3",15466500,5155500,"SG",34,"CHI",56,25,27.3,2.8,6.8,0.415,1.2,3.6,0.335,1.6,3.2,0.503,0.503,0.7,0.9,0.8,0.5,2.3,2.9,2.2,0.8,0.5,1,2.3,7.6,8.2,0.525,0.525,0.131,2.1,9.4,5.8,10.5,1.4,1.7,12.6,13.1,NA,0.2,1.4,1.6,0.05,NA,-3.3,0.3,-3.1,-0.4
"50","Garrison Mathews","1",1669178,1669178,"SG",24,"WAS",64,24,16.2,1.5,3.7,0.409,1.2,3.1,0.384,0.3,0.6,0.538,0.57,1.3,1.5,0.884,0.3,1.1,1.4,0.4,0.5,0.1,0.2,1.7,5.5,9.7,0.635,0.835,0.401,1.6,7.2,4.4,3.1,1.3,0.6,3.5,11.5,NA,1.7,0.6,2.3,0.108,NA,-1.7,-0.1,-1.8,0.1
"51","Gary Trent Jr.","3",51840000,17280000,"SG",22,"TOT",58,38,31.1,5.5,13.5,0.408,2.8,7.4,0.385,2.7,6.1,0.435,0.513,1.4,1.8,0.783,0.5,2.2,2.6,1.4,1,0.2,0.7,1.6,15.3,12.1,0.534,0.546,0.135,1.6,7.7,4.6,6.6,1.5,0.5,4.9,20.9,NA,1,0.7,1.7,0.045,NA,-0.5,-1.7,-2.3,-0.1
"52","George Hill","2",8e+06,4e+06,"PG",34,"TOT",30,17,22.4,3.2,6.6,0.482,1,2.7,0.388,2.1,3.9,0.547,0.561,1.3,1.7,0.8,0.5,1.5,2,2.4,0.8,0.2,1,1,8.7,13.1,0.596,0.406,0.254,2.6,7.2,4.9,16,1.6,0.7,12.4,15.9,NA,0.9,0.6,1.4,0.1,NA,-1,-0.2,-1.2,0.1
"53","Georges Niang","2",6765000,3382500,"PF",27,"UTA",72,10,16,2.5,5.6,0.437,1.7,4.1,0.425,0.7,1.6,0.469,0.59,0.3,0.3,0.957,0.4,2.1,2.4,0.8,0.3,0.1,0.7,1.6,6.9,11.4,0.602,0.721,0.057,2.7,13,8.1,7.3,1.1,0.6,10.9,17.4,NA,1.2,1.4,2.6,0.108,NA,-0.4,0.1,-0.3,0.5
"54","Gorgui Dieng","1",4e+06,4e+06,"C",31,"TOT",38,1,14.5,2.2,4.3,0.521,0.8,1.8,0.429,1.4,2.4,0.591,0.613,1.5,1.8,0.866,1.1,2.6,3.7,1.3,0.7,0.4,0.8,1.5,6.8,19.2,0.67,0.429,0.411,7.6,19.5,13.5,12,2.3,2.6,14.3,17.4,NA,1.3,0.8,2.1,0.185,NA,1.8,1.5,3.4,0.7
"55","Hamidou Diallo","2",10400000,5200000,"SG-SF",22,"TOT",52,9,23.6,4.3,9,0.477,0.5,1.6,0.341,3.8,7.5,0.505,0.506,2.5,3.8,0.64,1.1,4.1,5.2,1.9,0.8,0.5,1.5,2.6,11.6,14.3,0.541,0.174,0.426,5.1,18.8,11.9,13.3,1.6,1.7,12,22.2,NA,0.3,1.3,1.6,0.063,NA,-2.2,0.1,-2.1,0
"56","Harry Giles","1",1789256,1789256,"C",22,"POR",38,0,9.2,1.1,2.6,0.433,0.2,0.6,0.348,0.9,1.9,0.459,0.474,0.4,0.7,0.593,0.8,2.7,3.5,0.8,0.2,0.3,0.5,1.4,2.8,12.4,0.496,0.237,0.278,9.3,32.2,20.4,11.3,1.1,3.3,15.5,15.9,NA,0.1,0.4,0.5,0.069,NA,-3.2,0.2,-2.9,-0.1
"57","Hassan Whiteside","1",2401537,2401537,"C",31,"SAC",36,4,15.2,3.5,6.2,0.563,0,0,0,3.5,6.2,0.565,0.563,1.1,2.2,0.519,1.7,4.3,6,0.6,0.3,1.3,1.1,2,8.1,19.2,0.566,0.004,0.353,12.2,31.8,21.9,5.6,0.8,7.1,13.4,23.5,NA,0.3,0.6,0.9,0.081,NA,-1.8,-0.4,-2.2,0
"58","Isaac Bonga","1",1729217,1729217,"SF",21,"WAS",40,8,10.8,0.8,2,0.37,0.3,1.2,0.277,0.4,0.9,0.5,0.451,0.1,0.2,0.625,0.5,1.2,1.7,0.6,0.3,0.2,0.6,1.6,2,4,0.461,0.58,0.099,4.4,11.7,8.1,6.5,1.2,1.7,20.7,10.2,NA,-0.4,0.4,0,-0.001,NA,-5.8,0,-5.8,-0.4
"59","Jahlil Okafor","1",2089448,2089448,"C",25,"DET",27,2,12.9,2.3,3.8,0.618,0.1,0.3,0.222,2.3,3.4,0.656,0.627,0.6,0.9,0.708,0.9,1.6,2.4,0.5,0.2,0.2,0.8,1.4,5.4,13.1,0.644,0.088,0.235,7.3,13.9,10.6,6.1,0.8,1.3,15.7,16.8,NA,0.3,0.3,0.6,0.082,NA,-2.5,-0.7,-3.2,-0.1
"60","James Johnson","1",2641691,2641691,"PF",33,"TOT",51,12,20.5,2.9,6.4,0.446,0.6,2.4,0.258,2.3,4.1,0.556,0.494,0.9,1.5,0.592,0.6,2.8,3.5,1.9,0.8,0.8,1.1,2.4,7.2,11.4,0.51,0.367,0.232,3.4,15.1,9.3,12.9,2,3.8,13.2,17.1,NA,-0.1,1.3,1.2,0.055,NA,-2.7,1.5,-1.2,0.2
"61","JaMychal Green","2",16400000,8200000,"PF",30,"DEN",58,5,19.3,3,6.4,0.463,1.4,3.4,0.399,1.6,3,0.534,0.568,0.8,1,0.807,1.5,3.3,4.8,0.9,0.4,0.4,0.9,2.5,8.1,13.6,0.59,0.529,0.152,8.6,19.4,14,6.4,1.1,1.9,11.7,17.6,NA,1.4,1.2,2.6,0.11,NA,-0.5,-1,-1.5,0.1
"62","Jared Harper","1",1669178,1669178,"PG",23,"NYK",8,0,2,0,0.5,0,0,0.1,0,0,0.4,0,0,0.4,0.5,0.75,0,0.3,0.3,0.1,0,0,0.4,0.1,0.4,-10.8,0.26,0.25,1,0,13.4,6.8,7.7,0,0,34.2,24.4,NA,-0.1,0,-0.1,-0.365,NA,-16.6,-5.5,-22.1,-0.1
"63","Jarred Vanderbilt","3",13122000,4374000,"PF",21,"MIN",64,30,17.8,2.2,3.7,0.606,0,0.1,0.2,2.2,3.6,0.615,0.608,0.9,1.6,0.559,1.8,3.9,5.8,1.2,1,0.7,0.8,1.9,5.4,16.2,0.612,0.021,0.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,NA,1.6,1.5,3.1,0.132,NA,-1.4,1.4,-0.1,0.5
"64","Jarrell Brantley","1",1669178,1669178,"PF",24,"UTA",28,0,4.9,0.9,1.9,0.481,0.4,1,0.429,0.5,0.9,0.542,0.596,0.1,0.1,1,0.3,0.6,1,0.5,0.3,0.1,0.3,0.6,2.3,16.6,0.605,0.538,0.038,7.2,13.3,10.4,16.1,2.5,1.2,13.1,19,NA,0.3,0.2,0.5,0.172,NA,0.6,1.6,2.2,0.1
