"","Player","Years","Full_Salary","Avg_Salary","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Aaron Holiday","2",1968175,1968175,"PG",25,"TOT",63,15,16.2,2.4,5.4,0.447,0.6,1.6,0.379,1.8,3.7,0.477,0.504,0.9,1.1,0.868,0.4,1.6,1.9,2.4,0.7,0.1,1.1,1.5,6.3,12.6,0.544,0.305,0.201,2.6,10.3,6.5,20.7,2,0.7,15.4,18.7,NA,0.5,0.9,1.5,0.068,NA,-1.9,0.3,-1.7,0.1
"2","Amir Coffey","2",1.1e+07,3666667,"SG",24,"LAC",69,30,22.7,3.1,6.8,0.453,1.4,3.7,0.378,1.7,3.1,0.542,0.556,1.5,1.7,0.863,0.4,2.5,2.9,1.8,0.6,0.2,0.7,1.3,9,13,0.598,0.545,0.251,1.8,11.2,6.7,11.4,1.2,0.8,8,15.8,NA,2.3,1.5,3.8,0.116,NA,-0.3,0,-0.3,0.7
"3","Andre Drummond","3",6560000,3280000,"C",28,"TOT",73,36,19.7,3.4,5.9,0.57,0,0,0,3.4,5.9,0.574,0.57,1.2,2.2,0.524,3.1,6.2,9.3,1.8,1.1,0.9,1.6,2.6,7.9,21,0.574,0.007,0.379,18,34.1,26.2,13.7,2.7,4.2,18.5,19,NA,2,3.1,5.1,0.17,NA,-0.1,1.4,1.3,1.2
"4","Anfernee Simons","5",1e+08,2.5e+07,"SG",22,"POR",57,30,29.5,6.2,14,0.443,3.1,7.8,0.405,3.1,6.2,0.49,0.555,1.8,2,0.888,0.5,2.2,2.6,3.9,0.5,0.1,2,1.9,17.3,15.3,0.583,0.555,0.146,1.6,8.5,4.9,22.2,0.9,0.4,11.9,24.8,NA,2,-0.1,1.9,0.055,NA,1.9,-2.7,-0.7,0.5
"5","Anthony Gill","2",3833328,1916664,"PF",29,"WAS",44,0,10.5,1.4,2.5,0.569,0.3,0.6,0.538,1.1,1.9,0.578,0.633,1,1.2,0.808,0.8,1.2,1.9,0.6,0.1,0.3,0.4,1.3,4.1,14.7,0.682,0.239,0.477,8,12.2,10.2,8.3,0.5,2,12,14.4,NA,1.1,0.2,1.4,0.14,NA,-0.6,-1.3,-1.9,0
"6","Austin Rivers","2",2905851,2905851,"SG",29,"DEN",67,18,22.1,2.2,5.2,0.417,1.2,3.4,0.342,1,1.8,0.563,0.53,0.5,0.7,0.727,0.3,1.4,1.7,1.3,0.8,0.1,0.8,1.8,6,7.2,0.546,0.66,0.126,1.5,6.9,4.3,8,1.7,0.4,12.8,12.6,NA,0.1,1.1,1.2,0.037,NA,-3.5,-0.3,-3.8,-0.7
"7","Bismack Biyombo","1",2905851,2905851,"C",29,"PHO",36,3,14.1,2.4,4,0.593,0,0,NA,2.4,4,0.593,0.593,1.1,2,0.535,1.8,2.9,4.6,0.6,0.3,0.7,0.7,1.9,5.8,17.3,0.596,0,0.49,13.7,21.5,17.7,6.2,1.1,4.6,12.4,17.1,NA,0.9,0.9,1.8,0.17,NA,-1.7,0.4,-1.3,0.1
"8","Bobby Portis","4",48578208,12144552,"C",26,"MIL",72,59,28.2,5.8,12.1,0.479,1.8,4.7,0.393,3.9,7.4,0.533,0.555,1.2,1.6,0.752,2.5,6.6,9.1,1.2,0.7,0.7,1.3,2.4,14.6,17.7,0.571,0.388,0.13,9.6,24.4,17.2,6.4,1.3,2.4,8.9,21.3,NA,2.9,2.6,5.5,0.131,NA,1.2,-1,0.2,1.1
"9","Bol Bol","2",4400000,2200000,"PF",22,"DEN",14,0,5.8,1.1,1.9,0.556,0.1,0.3,0.25,1,1.6,0.609,0.574,0.1,0.4,0.4,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4,13.5,0.565,0.148,0.185,5.7,21.4,13.8,9.1,0.6,2.2,12,18,NA,0,0.1,0.1,0.065,NA,-0.5,-0.4,-1,0
"10","Bradley Beal","4",251019650,50203930,"SG",28,"WAS",40,40,36,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14,0.508,0.492,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,17.5,0.539,0.272,0.263,3,11.4,7.3,30.8,1.2,0.9,13.6,30.8,NA,0.6,0.7,1.4,0.046,NA,2,-1.2,0.8,1
