"","Player","Years","Full_Salary","Avg_Salary","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"78","Robin Lopez","1",7300000,7300000,"C",31,"MIL",66,5,14.5,2.2,4.5,0.492,0.5,1.6,0.333,1.7,2.9,0.577,0.55,0.4,0.8,0.528,0.8,1.6,2.4,0.7,0.2,0.7,1,1.5,5.4,10.2,0.554,0.351,0.177,6.2,10.2,8.3,6.3,0.5,4.1,16.4,16.6,NA,-0.1,1.6,1.5,0.077,NA,-3,0.4,-2.6,-0.2
"79","Rodney Hood","2",20898696,10449348,"SF",27,"POR",21,21,29.5,4.1,8.2,0.506,1.7,3.4,0.493,2.5,4.8,0.515,0.608,1,1.3,0.778,0.5,3,3.4,1.5,0.8,0.2,0.9,2.2,11,12.2,0.625,0.413,0.157,1.7,10.4,6.1,7,1.3,0.6,9.4,13.9,NA,0.9,0.2,1.1,0.084,NA,-0.4,-0.5,-0.9,0.2
"80","Serge Ibaka","2",18978900,9489450,"C",30,"TOR",55,27,27,6.2,12.2,0.512,1.3,3.3,0.385,5,8.9,0.559,0.564,1.6,2.3,0.718,2.1,6.1,8.2,1.4,0.5,0.8,2,2.8,15.4,17.3,0.583,0.272,0.185,8.3,23.5,16.1,8.6,0.9,3,13.1,24,NA,1.2,2.7,3.9,0.126,NA,0.1,0,0.1,0.8
"81","Sindarius Thornwell","1",1678854,1678854,"SF",25,"NOP",2,0,17.5,3,5.5,0.545,1,2,0.5,2,3.5,0.571,0.636,1,2,0.5,0,2,2,2,0.5,0.5,1,1,8,14.7,0.627,0.364,0.364,0,12.2,6.1,16.1,1.3,2.4,13.6,17.3,NA,0,0,0.1,0.101,NA,0.4,-1.2,-0.8,0
"82","Solomon Hill","1",2174318,2174318,"PF",28,"TOT",59,4,18.4,1.9,4.7,0.396,1.1,2.9,0.368,0.8,1.8,0.439,0.509,0.7,0.9,0.741,0.5,2.3,2.8,1.8,0.7,0.2,0.9,1.4,5.5,9.8,0.535,0.615,0.194,2.9,13,8.1,12.4,1.9,1,14.5,13.6,NA,0.4,1.1,1.4,0.064,NA,-2,0.3,-1.7,0.1
"83","Thon Maker","1",1737145,1737145,"C",22,"DET",60,14,12.9,1.6,3.2,0.482,0.4,1.1,0.344,1.2,2.2,0.55,0.539,1.2,1.8,0.664,0.9,1.9,2.8,0.7,0.4,0.7,0.8,1.7,4.7,13.7,0.582,0.332,0.57,7.8,16.7,12.2,8,1.6,4.2,15.7,16.1,NA,0.7,0.8,1.5,0.096,NA,-2.1,0.7,-1.4,0.1
"84","Torrey Craig","1",1678854,1678854,"SF",29,"DEN",58,27,18.5,2.1,4.6,0.461,0.8,2.4,0.326,1.4,2.3,0.603,0.545,0.4,0.6,0.611,1.1,2.2,3.3,0.8,0.4,0.6,0.4,2.3,5.4,10.8,0.553,0.513,0.134,6.6,13.2,9.9,5.9,1.1,3.1,8.1,12.6,NA,1.1,0.9,2,0.091,NA,-2,-0.3,-2.3,-0.1
"85","Trey Burke","3",9450000,3150000,"PG",27,"TOT",33,1,15.8,2.8,6.3,0.45,1,2.3,0.427,1.9,4.1,0.463,0.526,0.7,0.9,0.793,0.5,1,1.5,2.5,0.5,0.1,0.6,1,7.4,15.6,0.548,0.359,0.139,3.4,7,5.2,23.7,1.5,0.3,8.7,20,NA,1,0.4,1.3,0.123,NA,0.8,-1,-0.2,0.2
"86","Tristan Thompson","2",18978900,9489450,"PF",28,"CLE",57,51,30.2,5.1,9.9,0.512,0.2,0.4,0.391,4.9,9.5,0.518,0.52,1.7,2.8,0.615,4,6.2,10.1,2.1,0.6,0.9,1.8,2.2,12,16.8,0.54,0.041,0.286,14.5,22.9,18.6,10.5,0.9,2.5,14,18.3,NA,2,1.1,3.1,0.085,NA,-0.2,-1.3,-1.5,0.2
"87","Tyler Johnson","1",2028594,2028594,"PG-SG",27,"TOT",39,7,18.2,2.5,6.4,0.388,1,3.1,0.319,1.5,3.4,0.45,0.464,1.1,1.3,0.84,0.5,1.5,1.9,1.9,0.4,0.2,0.7,1.5,7,10.1,0.504,0.476,0.2,2.7,8.9,5.8,14.8,1.1,1.1,9.6,18,NA,0.3,0.5,0.7,0.05,NA,-2,-0.9,-2.9,-0.2
"88","Udonis Haslem","1",2564753,2564753,"C",39,"MIA",4,1,11,1,2.8,0.364,0.3,0.8,0.333,0.8,2,0.375,0.409,0.8,1,0.75,0.3,3.8,4,0.3,0,0,0.3,1.5,3,6.5,0.47,0.273,0.364,2.6,36.7,20.3,3.2,0,0,7.3,13.8,NA,0,0.1,0,0.041,NA,-5.8,-1.6,-7.4,-0.1
"89","Wayne Ellington","1",2564753,2564753,"SG",32,"NYK",36,1,15.5,1.7,4.8,0.351,1.4,4,0.35,0.3,0.9,0.355,0.494,0.3,0.4,0.846,0.1,1.7,1.8,1.2,0.4,0.1,0.5,1.1,5.1,8.5,0.509,0.822,0.075,0.7,12,6.2,11,1.1,0.7,9.1,15,NA,0.2,0.2,0.4,0.035,NA,-1.9,-1,-2.9,-0.1
"90","Wenyen Gabriel","2",3383360,1691680,"PF",22,"TOT",30,1,7.8,0.7,1.6,0.438,0.2,0.7,0.3,0.5,0.9,0.536,0.5,0.5,0.7,0.682,0.7,1,1.7,0.3,0.4,0.2,0.5,1.3,2.1,9.6,0.546,0.417,0.458,9.5,13.9,11.7,4.4,2.2,2.6,21.7,13.4,NA,0,0.2,0.2,0.048,NA,-3.7,-0.1,-3.8,-0.1
"91","Wesley Matthews","1",3623000,3623000,"SG",33,"MIL",67,67,24.4,2.5,6.3,0.396,1.6,4.4,0.364,0.9,1.9,0.472,0.524,0.8,1,0.765,0.3,2.1,2.5,1.4,0.6,0.1,0.6,1.5,7.4,8.1,0.547,0.704,0.161,1.4,8.2,5,7.1,1.1,0.5,8.7,12.5,NA,0.8,2.4,3.2,0.093,NA,-2.6,0.7,-1.8,0.1
"92","Willie Cauley-Stein","2",8200000,4100000,"C",26,"TOT",54,39,20.3,3.2,5.6,0.579,0,0,0,3.2,5.6,0.581,0.579,0.7,1.2,0.606,1.6,4.3,5.8,1.3,0.9,1.1,0.7,2.2,7.2,17,0.589,0.003,0.219,8,23.3,15.5,9.9,2.1,5,10.8,14.4,NA,1.5,1.5,2.9,0.128,NA,-1.2,1.7,0.5,0.7
"93","Zylan Cheatham","3",4994028,1664676,"PF",24,"NOP",4,0,12.8,1.5,2.3,0.667,0,0.3,0,1.5,2,0.75,0.667,0,0,NA,0.8,1.5,2.3,0.8,0.3,0.3,1,2.5,3,6.7,0.667,0.111,0,6.2,12.5,9.4,7.7,0.9,1.6,30.8,10.4,NA,0,0,0,0.034,NA,-6.6,-0.5,-7.2,-0.1
